County,medianincome
13001,41226.2857
13003,32498.3333
13005,36470.8889
13007,40670.2500
13009,34360.2581
13011,42913.8571
13013,55599.5294
13015,50993.3061
13017,28591.6667
13019,36268.1333
13021,35786.6190
13023,39273.7500
13025,38469.1111
13027,29729.4667
13029,61736.8571
13031,38442.0952
13033,37498.3125
13035,42927.5000
13037,27056.6667
13039,50412.8800
13043,33532.8750
13045,46244.7358
13047,54391.1471
13049,45085.3333
13051,47823.9268
13053,47421.8000
13055,35965.8182
13057,76584.0706
13059,36578.3472
13061,23897.0000
13063,43629.5714
13065,23193.4286
13067,77384.2343
13069,36827.0000
13071,34090.0333
13073,76257.2000
13075,32610.2000
13077,66729.9474
13079,36376.7500
13081,31201.6500
13083,44310.8750
13085,65686.6000
13087,36361.0000
13089,64679.1385
13091,32590.5882
13093,32672.6667
13095,35089.7391
13097,60865.3818
13099,30400.7692
13101,38072.0000
13103,61607.4091
13105,34757.6000
13107,35138.7222
13109,40623.9000
13111,39840.7222
13113,86694.1633
13115,45454.0179
13117,99772.4352
13119,34840.1875
13121,71833.6765
13123,45250.9375
13125,45189.3333
13127,45385.5273
13129,44306.5517
13131,36816.4118
13133,52632.1579
13135,68101.3003
13137,46951.2692
13139,56471.7556
13141,25829.7143
13143,52343.0588
13145,60902.5625
13147,42272.3684
13149,44310.3750
13151,65045.0317
13153,51461.4459
13155,33815.0000
13157,56904.0690
13159,44965.4286
13161,32950.2727
13163,28716.3529
13165,26683.3750
13167,41708.7500
13169,57023.1818
13171,36736.9167
13173,28390.2857
13175,34939.9167
13177,67396.4615
13179,41526.0625
13181,40173.8571
13183,45251.0000
13185,41366.1159
13187,45259.5000
13189,37058.9444
13191,35837.5455
13193,32706.4615
13195,48505.7500
13197,31822.6000
13199,34900.9000
13201,38256.4000
13205,31938.4118
13207,50746.5000
13209,40585.5714
13211,57895.3333
13213,39204.2692
13215,41160.8480
13217,55405.8824
13219,76458.7857
13221,42545.7778
13223,64816.1739
13225,46571.4167
13227,61926.8824
13229,39249.1667
13231,51351.8750
13233,38424.4688
13235,30769.3333
13237,44075.7647
13239,26964.0000
13241,44500.0000
13243,28031.7143
13245,37957.0071
13247,56421.2391
13249,39641.3333
13251,37564.8571
13253,36260.4444
13255,39328.1429
13257,34831.8333
13259,27157.4000
13261,33149.8077
13263,36346.3333
13265,29362.0000
13267,35596.0625
13269,31074.2857
13271,31494.9000
13273,34843.2000
13275,37503.1389
13277,38339.1290
13279,33571.3333
13281,41470.3750
13283,38116.1429
13285,42396.4390
13287,42772.3333
13289,27599.1250
13291,44317.2143
13293,35644.2381
13295,45969.1304
13297,57215.0526
13299,34189.9091
13301,27272.0000
13303,39276.3750
13305,40928.3478
13307,38500.0000
13309,28399.6667
13311,44764.0000
13313,44419.0986
13315,37326.6667
13317,34393.7273
13319,39145.7778
13321,38569.0667
